id,영업상태,상세주소,약국명,위도,경도
PHMH320153000034087500046,영업/정상,서울특별시 종로구 율곡로 294 (종로6가),(주)코리아세븐 동대문점,200693.446442403,452129.426487718
PHMH320153000034087500047,영업/정상,서울특별시 종로구 돈화문로 27 1층 (묘동),씨유종로3가역점,199213.838396552,452079.102685274
PHMH320123000034087500089,영업/정상,서울특별시 종로구 필운대로 112-4 (신교동),씨유 종로신교점,197248.98886396,453488.397543043
PHMH320133000034087500024,영업/정상,서울특별시 종로구 대학로11길 23 102호 (명륜4가 대학로스타시티빌딩),GS25 명륜스타,199972.881431778,453308.674806807
PHMH320153000034087500043,영업/정상,서울특별시 종로구 율곡로 271 1층 (종로6가 대광빌딩),씨유 종로공원점,200600.526930858,452323.316087427
PHMH320163000034087500030,영업/정상,서울특별시 종로구 삼일대로17길 51 1층 (관철동 스타골드빌딩),(주)코리아세븐종각점,198564.46852157,451870.58576802
PHMH320163000034087500031,영업/정상,서울특별시 종로구 율곡로17길 24 1층 (이화동),씨유 종로율곡점,200351.655299926,452734.637745835
PHMH320163000034087500026,영업/정상,서울특별시 종로구 종로46길 5 1층 (창신동),씨유동대문역점,200900.729782712,452107.733476585
PHMH320163000034087500027,영업/정상,서울특별시 종로구 난계로 241 (숭인동),세븐일레븐 숭인IBC호텔점,201949.270716491,452329.735166543
PHMH320153000034087500016,영업/정상,서울특별시 종로구 종로5길 7 101호 (청진동),지에스25청진타워8,198235.0,452048.0
PHMH320173000034087500025,영업/정상,서울특별시 종로구 성균관로 74 (명륜1가),세븐일레븐 명륜동선점,199699.142552304,454091.032612385
PHMH320123000034087500064,영업/정상,서울특별시 종로구 삼일대로 390-1 (관철동),이마트24 삼일로점,198867.921956341,451906.885476295
PHMH320123000034087500137,영업/정상,서울특별시 종로구 종로 19 109호 (종로1가 르메이에르종로타운),씨유 종로1가점,198150.300374121,452019.212642931
PHMH320123000034087500044,영업/정상,서울특별시 종로구 이화장길 99-0 (동숭동),GS25 종로방통대점,200309.358120637,453044.212129777
PHMH320183000034087500007,영업/정상,서울특별시 종로구 사직로 7 지하1층 (행촌동),씨유 종로대신점,196501.162126415,452271.219553834
PHMH320163000034087500020,영업/정상,서울특별시 종로구 숭인동길 76 1층 (숭인동),GS25 숭인보문점,201868.251816014,452890.732540915
PHMH320123000034087500092,영업/정상,서울특별시 종로구 성균관로 36 (명륜1가),씨유 성대원룸촌점,199665.956070641,453731.083871475
PHMH320123000034087500093,영업/정상,서울특별시 종로구 명륜길 74 (명륜3가),씨유 성대양현관입구점,199374.280432253,454179.851357379
PHMH320123000034087500094,영업/정상,서울특별시 종로구 삼봉로 81 1층 106호 (수송동),세븐일레븐 종로두산점,198324.653631679,452252.812389497
PHMH320173000034087500009,영업/정상,서울특별시 종로구 통일로 168-1 3101호 (교남동 경희궁자이3BL),씨유 경희궁자이행복점,196733.758361679,451872.227933141
PHMH320183000034087500009,영업/정상,서울특별시 종로구 창경궁로 255 1층 (명륜2가),CU 종로명륜2가점,199920.139694741,453560.115981456
PHMH320183000034087500010,영업/정상,서울특별시 종로구 계동길 61 1층 (계동),GS25계동중앙점,198743.166772387,453082.574897286
PHMH320153000034087500010,영업/정상,서울특별시 종로구 명륜4길 8 1층 102호 (명륜3가),GS25 성대양현점,199480.872005434,454123.120311234
PHMH320163000034087500021,영업/정상,서울특별시 종로구 옥인3길 2-1 (누상동),(주)코리아세븐 종로누상점,196956.504201164,453186.141879074
PHMH320173000034087500020,영업/정상,서울특별시 종로구 낙산길 198 208동 1층 (창신동 창신쌍용아파트),씨유창신쌍용점,200971.425717609,453113.875178674
PHMH320143000034087500016,영업/정상,서울특별시 종로구 지봉로10길 2 1층 (숭인동),씨유 종로숭인점,201327.734146154,452639.052270126
PHMH320123000034087500008,영업/정상,서울특별시 종로구 자하문로 19-1 (체부동),GS25 종로사직점,197347.192983,452921.820829
PHMH320123000034087500009,영업/정상,서울특별시 종로구 필운대로 39 (누하동),GS25 종로누하점,197159.15248117,453026.326653906
PHMH320123000034087500032,영업/정상,서울특별시 종로구 필운대로 12 (필운동),세븐일레븐 종로배화점,197231.292851585,452764.457295974
PHMH320183000034087500011,영업/정상,서울특별시 종로구 대학로1길 6 (효제동),CU 종로연강홀점,200069.598960974,452132.848980757
PHMH320173000034087500031,영업/정상,서울특별시 종로구 율곡로 195 1층 (연건동 대보마로니에텔),세븐일레븐 종로태양점,199967.525233963,452654.509799979
PHMH320123000034087500018,영업/정상,서울특별시 종로구 동숭길 140 (혜화동),GS25 동숭점,200156.610752518,453486.148396679
PHMH320123000034087500100,영업/정상,서울특별시 종로구 자하문로 266 102-12호 (부암동),씨유종로부암점,196668.877563099,455055.264019484
PHMH320143000034087500021,영업/정상,서울특별시 종로구 종로3길 38 1층 (청진동),GS25청진본,198120.637972874,452198.433879026
PHMH320123000034087500114,영업/정상,서울특별시 종로구 평창11길 17 (평창동),(주)코리아세븐평창점,196915.715098031,456069.982694811
PHMH320133000034087500027,영업/정상,서울특별시 종로구 대학로 81 (연건동),씨유 마로니에점,200099.913137334,452901.852546819
PHMH320133000034087500029,영업/정상,서울특별시 종로구 사직로8길 42 102-2호 (내수동 광화문시대),이마트24 광화문시대점,197559.791065754,452388.315239125
PHMH320173000034087500049,영업/정상,서울특별시 종로구 명륜길 21 1층 (명륜3가),씨유 성대킹고점,199541.085851334,453994.48641613
PHMH320153000034087500042,영업/정상,서울특별시 종로구 자하문로 82 (효자동),씨유 종로효자점,197342.22089531,453450.527281803
PHMH320163000034087500009,영업/정상,서울특별시 종로구 성균관로 16 (명륜2가),(주)코리아세븐 종로성대점,199728.737019433,453555.981542004
PHMH320133000034087500031,영업/정상,서울특별시 종로구 난계로29길 67 1층 (숭인동),GS25 숭인마사회,201662.929879894,452348.860097603
PHMH320173000034087500036,영업/정상,서울특별시 종로구 새문안로3길 21 (당주동),세븐일레븐 종로당주점,197507.405849417,452201.789572702
PHMH320173000034087500037,영업/정상,서울특별시 종로구 자하문로 100-1 (청운동 청운빌딩),GS25 청운중앙점,197319.553362216,453621.456083183
PHMH320173000034087500048,영업/정상,서울특별시 종로구 삼봉로 100 1층 1호 (공평동),씨유종로공평점,198403.062908229,452180.670203793
PHMH320173000034087500006,영업/정상,서울특별시 종로구 삼일대로32가길 37 1층 (익선동),씨유종로글로벌점,199019.836706697,452488.325210222
PHMH320173000034087500007,영업/정상,서울특별시 종로구 삼봉로 94 104호 (공평동),지에스25종로94빌딩점,198438.543021,452476.131515
PHMH320163000034087500011,영업/정상,서울특별시 종로구 통일로12길 62 1층 (행촌동),씨유 종로 행촌,196568.13907383,452528.320868817
PHMH320183000034087500006,영업/정상,서울특별시 종로구 송월길 155 4123호 (교북동 경희궁자이 4단지),GS25 경희궁자이점,196518.879700736,452151.254161002
PHMH320183000034087500025,영업/정상,서울특별시 종로구 청계천로 215-1 1층 (종로5가),씨유종로광장시장점,200069.999811961,451952.472945436
PHMH320193000034087500001,영업/정상,서울특별시 종로구 낙산성곽동길 62 지하1층층 1호 (창신동 인아빌라),씨유종로창신길점,200731.479029731,452853.41482704
PHMH320193000034087500002,영업/정상,서울특별시 종로구 창의문로 170 1층 (부암동),세븐일레븐종로창의문점,196738.282,454729.048666667
PHMH320193000034087500005,영업/정상,서울특별시 종로구 성균관로 13 (명륜2가),이마트24 R종로성대점,199728.673728992,453507.318524049
PHMH320193000034087500006,영업/정상,서울특별시 종로구 종로 383 1층 (숭인동),씨유숭인2동점,201681.195720112,452478.977986105
PHMH320193000034087500013,영업/정상,서울특별시 종로구 율곡로2길 7 서머셋팰리스서울 1층 1호 (수송동),지에스25종로로얄점,198271.843790307,452533.899674194
PHMH320193000034087500016,영업/정상,서울특별시 종로구 대학로 116 지상1층 (동숭동),(주)코리아세븐 마로니에공원점,200137.118682246,453249.562595164
PHMH320193000034087500011,영업/정상,서울특별시 종로구 김상옥로 24 세림빌딩 1층 (연지동),이마트24R종로대호점,199966.023703193,452302.347888199
PHMH320193000034087500017,영업/정상,서울특별시 종로구 성균관로 48-2 소석빌딩 1층 (명륜1가),주식회사 코리아세븐 명륜성대점,199644.106786191,453833.482409091
PHMH320193000034087500009,영업/정상,서울특별시 종로구 종로12길 15 코아빌딩1 1층 (관철동),주식회사 코리아세븐 종로코아점,198697.706712628,451897.834324531
PHMH320193000034087500019,영업/정상,서울특별시 종로구 대학로12길 73 낙산재 1층 101호 (동숭동),(주)비지에프휴먼넷 CU마로니에공원점,200281.251023483,453163.856123543
PHMH320193000034087500023,영업/정상,서울특별시 종로구 창경궁로34길 15 (혜화동),GS25 혜화대명점,200036.130856005,453557.531444188
PHMH320223030033087500008,영업/정상,서울특별시 성동구 한림말길 24 1층 107-1호 (옥수동 극동옥정아파트),지에스(GS)25 옥정점,201145.389175397,448695.731035857
PHMH320193000034087500025,영업/정상,서울특별시 종로구 성균관로5길 6 1층 (명륜2가),씨유 종로성대점,199667.34921991,453570.529974391
PHMH320193000034087500026,영업/정상,서울특별시 종로구 명륜3길 10 (명륜3가),이마트24 성대후문점,199428.158333717,454084.366462445
PHMH320193000034087500027,영업/정상,서울특별시 종로구 돈화문로 33 1층 (묘동),(주)코리아세븐 종로묘동점,199194.522294596,452126.693878744
PHMH320123000034087500081,영업/정상,서울특별시 종로구 창덕궁길 120 1층 (원서동),씨유 종로원서점,198988.459597376,453392.779978221
PHMH320123000034087500079,영업/정상,서울특별시 종로구 대명길 21 (명륜4가),(주)네오영 대학로2호점,199969.459458553,453437.965173952
PHMH320123000034087500084,영업/정상,서울특별시 종로구 세검정로6길 104 (신영동),씨유 종로신영점,196557.462118676,455479.388346619
PHMH320123000034087500085,영업/정상,서울특별시 종로구 종로 201 1층 (종로4가),씨유 종로5가점,199930.596613765,452092.620280635
PHMH320123000034087500086,영업/정상,서울특별시 종로구 돈화문로11길 38 1층 6호 (낙원동),씨유 종로3가점,198984.839771292,452270.384433732
PHMH320183000034087500004,영업/정상,서울특별시 종로구 자하문로 238 쌈지빌딩 지층 1호 (부암동),GS25부암대로점,196748.464828515,454791.837763203
PHMH320123000034087500060,영업/정상,서울특별시 종로구 창신길 27 (창신동),GS25 창신사랑,200865.581905975,452290.597368628
PHMH320133000034087500016,영업/정상,서울특별시 종로구 창경궁로 119 (인의동),세븐일레븐 종로창경궁로점,199695.44437244,452315.032342992
PHMH320133000034087500017,영업/정상,서울특별시 종로구 사직로 95 1층 1호 (필운동),씨유 종로사직공원점,197222.039384531,452671.47363754
PHMH320163000034087500005,영업/정상,서울특별시 종로구 종로 351 1층 (숭인동),씨유 동묘역점,201402.814743951,452356.534569671
PHMH320183000034087500016,영업/정상,서울특별시 종로구 삼일대로30길 23 종로비즈웰 101-8호 (익선동),GS35종로익선,198938.628193769,452464.092338006
PHMH320173000034087500038,영업/정상,서울특별시 종로구 삼청로 132 (삼청동),씨유 종로삼청점,198323.932404197,453867.383569366
PHMH320173000034087500015,영업/정상,서울특별시 종로구 통일로 248 (무악동),세븐일레븐 독립문역점,196230.717211362,452476.181064583
PHMH320123000034087500128,영업/정상,서울특별시 종로구 인사동4길 17 (낙원동),세븐일레븐 낙원점,198777.651837217,452366.66641278
PHMH320153000034087500017,영업/정상,서울특별시 종로구 난계로29길 28 (숭인동),세븐일레븐 종로향기점,201843.179937827,452443.279370247
PHMH320123000034087500109,영업/정상,서울특별시 종로구 돈화문로11길 39-3 (돈의동),(주)코리아세븐 종로3가역점,199134.902743697,452231.293970483
PHMH320153000034087500035,영업/정상,서울특별시 종로구 종로 154-1 (종로3가),씨유종로세운상가점,199467.888632647,451999.860095289
PHMH320153000034087500036,영업/정상,서울특별시 종로구 난계로 251 104호 (숭인동 동양파라빌),CU 숭인파라빌점,201946.86632604,452416.591916256
PHMH320173000034087500040,영업/정상,서울특별시 종로구 평창문화로 87 1층 101-1호 (평창동),지에스25 뉴평창파크팰리스,197349.173372741,456108.810250198
PHMH320153000034087500021,영업/정상,서울특별시 종로구 종로12길 7 1층 (관철동),씨유 종로중앙점,198685.817739508,451934.801435214
PHMH320173000034087500041,영업/정상,서울특별시 종로구 계동길 23 1층 (계동),씨유계동현대점,198746.629562268,452898.338276156
PHMH320173000034087500002,영업/정상,서울특별시 종로구 숭인동길 16 (숭인동),GS25 숭인현대,201857.226592825,452601.660020509
PHMH320183000034087500013,영업/정상,서울특별시 종로구 돈화문로11길 41 보광빌딩 1층 (낙원동),이마트24종로낙원점,198966.78218634,452232.345396899
PHMH320183000034087500014,영업/정상,서울특별시 종로구 종로50길 29 1층 (창신동),이마트24종로창신점,201056.877170419,452038.303804553
PHMH320123000034087500111,영업/정상,서울특별시 종로구 수표로 110 (낙원동),(주)코리아세븐 탑골공원점,199001.895945417,452078.522023565
PHMH320123000034087500033,영업/정상,서울특별시 종로구 창신6길 2 1층 (창신동),세븐일레븐 창신우리점,200878.545130532,452506.356509346
PHMH320123000034087500034,영업/정상,서울특별시 종로구 통일로16길 5 1층 (무악동),GS25 종로드림점,196143.256118357,452619.54362936
PHMH320123000034087500035,영업/정상,서울특별시 종로구 자하문로 60 (창성동),세븐일레븐 종로창성점,197383.41956245,453240.857215287
PHMH320153000034087500045,영업/정상,서울특별시 종로구 삼봉로 71 1층 106호 (수송동 G타워),GS25수송타워,198270.0,452247.0
PHMH320183000034087500019,영업/정상,서울특별시 종로구 종로 69 서울 YMCA 107호 (종로2가),지에스25 종로YMCA 점,198630.79627088,452035.412646906
PHMH320183000034087500022,영업/정상,서울특별시 종로구 대학로12길 13 청민빌딩 1층 (동숭동),씨유 종로동숭점,200163.533936465,453385.896458574
