경찰서명,구분,상세주소,위도,경도
을지,지구대,서울특별시 중구  을지로,37.5666362,127.0045157
광희,지구대,서울특별시 중구  퇴계로,37.5610574,126.9913118
약수,지구대,서울특별시 중구  동호로,37.5525369,127.0124355
신당,파출소,서울특별시 중구  다산로,37.5507793,127.0076435
장충,파출소,서울특별시 중구  동호로,37.5525369,127.0124355
충무,파출소,서울특별시 중구  퇴계로,37.5610574,126.9913118
을지로3가,파출소,서울특별시 중구 충무로 56-1,37.5674541,126.9925184
종로2가,지구대,서울특별시 종로구  종로17길,37.5720983,126.9882239
관수,파출소,서울특별시 종로구  삼일대로,37.5712266,126.987555
세검정,파출소,서울특별시 종로구  세검정로,37.6006292,126.9587664
평창,파출소,서울특별시 종로구  평창문화로,37.6117305,126.9799154
삼청,파출소,서울특별시 종로구  삼청로,37.5838252,126.981868
통의,파출소,서울특별시 종로구  효자로,37.5835599,126.9736207
청운,파출소,서울특별시 종로구  자하문로,37.5779059,126.9719758
옥인,파출소,서울특별시 종로구  자하문로17길,37.5813626,126.9697781
교남,파출소,서울특별시 종로구  송월길,37.5704666,126.9654458
세종로,파출소,서울특별시 중구  세종대로,37.5644624,126.977128
신문로,파출소,서울특별시 종로구  경희궁길,37.5739,126.9679
사직,파출소,서울특별시 종로구  사직로9길,37.577108,126.9648668
청진,파출소,서울특별시 종로구  삼봉로,37.572662949999994,126.97854131459195
태평로,파출소,서울특별시 중구  다동길,37.5676971,126.9806489
서울역,파출소,서울특별시 중구  통일로,37.5572801,126.9722447
명동,파출소,서울특별시 중구  명동길,37.5638495,126.9851142
남대문,파출소,서울특별시 중구  남대문시장4길,37.5589236,126.9764402
중림,파출소,서울특별시 중구  중림로,37.5569007,126.9690671
회현,파출소,서울특별시 중구  퇴계로6길,37.5572539,126.9785719
서소문,파출소,서울특별시 중구  서소문로,37.5622037,126.9700606
충정로,지구대,서울특별시 서대문구  독립문로,37.5701185,126.9604203
신촌,지구대,서울특별시 서대문구  신촌역로,37.5591337,126.9408586
홍은,파출소,서울특별시 서대문구 세검정로1길 112,37.5952041,126.946268
연희,파출소,서울특별시 서대문구  연희로25길,37.5713517,126.9335141
남가좌,파출소,서울특별시 서대문구  가재울로4길,37.5755,126.9236627
북가좌,파출소,서울특별시 서대문구  증가로,37.5705757,126.9305063
홍제,파출소,서울특별시 서대문구  통일로,37.57662,126.95559
홍은2,파출소,서울특별시 서대문구  연희로,37.5909384,126.940404
혜화,파출소,서울특별시 종로구  창경궁로,37.5697337,126.9978588
대학로,파출소,서울특별시 종로구  이화장2길,37.5786519,127.0059099
명륜,파출소,서울특별시 종로구  성균관로,37.5894396,126.9976609
창신,파출소,서울특별시 종로구  지봉로13길,37.5783454,127.0137084
동묘,파출소,서울특별시 종로구  종로58가길,37.5727592,127.0172476
덕산,파출소,서울특별시 종로구  창신길,37.5756133,127.0109366
종로5가,파출소,서울특별시 종로구  동호로,37.5703796,127.0019568
효제,파출소,서울특별시 종로구  종로41나길,37.5730297,127.0057926
원효,지구대,서울특별시 용산구  백범로,37.5360154,126.9728426
용중,지구대,서울특별시 용산구  후암로16나길,37.5491512,126.9785754
이태원,파출소,서울특별시 용산구  이태원로,37.5352885,126.9745308
한남,파출소,서울특별시 용산구  대사관로34길,37.5315094,127.0057531
보광,파출소,서울특별시 용산구  보광로,37.5330546,126.9944068
용산역,파출소,서울특별시 용산구  한강대로,37.5447751,126.9719446
한강로,지구대,서울특별시 용산구 서빙고로 67,37.520219,126.9905063
돈암,지구대,서울특별시 성북구  아리랑로5길,37.5972539,127.0125685
안암,지구대,서울특별시 성북구  지봉로21길,37.5858637,127.0171955
길음,지구대,서울특별시 성북구  삼양로13길,37.6110509,127.0205758
정릉,파출소,서울특별시 성북구  솔샘로,37.6129866,127.007746
정릉2,파출소,서울특별시 성북구  정릉로26길,37.6034205,127.0120272
성북,파출소,서울특별시 성북구  성북로,37.5893142,127.0050907
답십리,지구대,서울특별시 동대문구 사가정로2길 9,37.5709775,127.0510081
용신,지구대,서울특별시 동대문구  청계천로,37.5720878,127.034992
청량리,파출소,서울특별시 동대문구 약령시로21길 15,37.5842387,127.0454556
제기,파출소,서울특별시 동대문구 약령시로17길 59-11,37.5857218,127.0415937
전농1,파출소,서울특별시 동대문구 서울시립대로 56,37.5750243,127.0467517
전농2,파출소,서울특별시 동대문구 전농로38다길 21,37.5862304,127.0541279
장안1,파출소,서울특별시 동대문구 한천로20길 7,37.5692565,127.0653804
장안2,파출소,서울특별시 동대문구  답십리로,37.5765595,127.0465065
이문,지구대,서울특별시 동대문구  한천로,37.5866569,127.0673663
휘경,파출소,서울특별시 동대문구  한천로,37.5866569,127.0673663
회기,파출소,서울특별시 동대문구  회기로18길,37.590221,127.0540786
서강,지구대,서울특별시 마포구  독막로22길,37.5467902,126.929641
공덕,지구대,서울특별시 마포구 마포대로 195-1,37.5431151,126.9503557
월드컵,지구대,서울특별시 마포구  월드컵북로,37.5840183,126.8807501
홍익,지구대,서울특별시 마포구  양화로11길,37.5518366,126.9162644
용강,지구대,서울특별시 마포구 토정로31길 35,37.5428,126.94372
상암,파출소,서울특별시 마포구  매봉산로,37.5782684,126.8935001
망원,파출소,서울특별시 마포구  망원로2길,37.5544295,126.9024099
연남,파출소,서울특별시 마포구  연남로,37.5673946,126.9168448
중앙,지구대,서울특별시 영등포구  영등포로46길,37.5186124,126.9078018
여의도,지구대,서울특별시 영등포구  여의공원로,37.5285573,126.9246745
문래,지구대,서울특별시 영등포구  경인로,37.5200082,126.9147546
신풍,지구대,서울특별시 영등포구 신길동 4533-16,37.50556,126.91278
신길,지구대,서울특별시 영등포구  신길로60다길,37.5135939,126.914143
양평,파출소,서울특별시 영등포구  선유로,37.5395612,126.9005899
당산,지구대,서울특별시 영등포구  당산로,37.5290399,126.8980093
대림,지구대,서울특별시 영등포구  대림로23길,37.493486,126.8991851
대림3,파출소,서울특별시 영등포구 대림로 197,37.4982976,126.8980585
영등포역,파출소,서울특별시 영등포구 경인로102길 13,37.5158661,126.9065093
한양,지구대,서울특별시 성동구  사근동길,37.5601136,127.0413452
성수,지구대,서울특별시 성동구  광나루로2길,37.5487209,127.0544243
