id,약국명,상세주소,위도,경도
PHMD120223160034084000006,봄약국,서울특별시 구로구 경인로 204 1층 103호 (오류동),37.6386245,127.0258767
PHMD120223220033084000010,다정약국,서울특별시 강남구 논현로175길 7 1층 101호 (신사동),37.4830824,127.0065118
PHMD120223080033084000005,연세약국,서울특별시 강북구 도봉로 345 1층 (수유동),37.6367746,127.0238931
PHMD120223210034084000007,서초무지개약국,서울특별시 서초구 효령로 403 4층 410호 (서초동),37.4806387,126.9529622
PHMD120223050034084000005,다나은약국,서울특별시 동대문구 홍릉로 3 1층 (청량리동),37.4986354,127.14368
PHMD120223050034084000004,보문한약국,서울특별시 동대문구 약령중앙로 11 1층 (제기동),37.498036,127.026497
PHMD120223210034084000006,서초자이약국,서울특별시 서초구 효령로 403 204호 (서초동),37.4821081,126.8989193
PHMD120223080033084000004,조은약국,서울특별시 강북구 도봉로 317 덕산빌딩 2층 (수유동),37.4405439,126.9025176
PHMD120223200033084000004,애프터팜 윤약국,서울특별시 관악구 관악로 174 102호 (봉천동),37.5776394,126.8886338
PHMD120223230034084000005,송파시그니처약국,서울특별시 송파구 거마로 56 상가동 2층 9호 (거여동 송파시그니처롯데캐슬),37.5552152,127.1403292
PHMD120223210034084000005,나인약국,서울특별시 서초구 서초대로77길 3 아라타워 124호 (서초동),37.4982696,127.0252148
PHMD120223160034084000005,튼튼온누리약국,서울특별시 구로구 디지털로32가길 25 티타운빌딩 101-1호 (구로동),37.5556948,126.8538486
PHMD120223170035084000001,금천중앙약국,서울특별시 금천구 시흥대로73길 67 엠메디컬타워 116호 (시흥동),37.5546422,126.834636
PHMD120223130033084000002,상암나무약국,서울특별시 마포구 월드컵북로 381 제상가동 지1층 113-1호 (상암동 상암 월드컵파크 4단지),37.516892,127.0206944
PHMD120223240033084000006,5층 하늘약국,서울특별시 강동구 고덕로 133 강동롯데캐슬퍼스트아파트 5층 513호 (암사동),37.5346947,127.1372348
PHMD120223210034084000004,휴베이스봄약국,서울특별시 서초구 서초대로73길 9 타임빌딩 1층 (서초동),37.5673603,126.8275954
PHMD120223150037084000010,비타민약국,서울특별시 강서구 공항대로 417 센트럴시티 102호 (등촌동),37.6259776,127.0792839
PHMD120223150037084000011,코리아약국,서울특별시 강서구 강서로 323 1층 102호 (내발산동),37.665957,127.0390407
PHMD120223220033084000009,아이디약국,서울특별시 강남구 도산대로 111 1층 101호 (신사동),37.564061,126.811401
PHMD120223240033084000005,길동온누리약국,서울특별시 강동구 천호대로 1131 거산 유팰리스 1층 105호 (길동),37.5645166,126.9994126
PHMD120223150037084000009,마곡아임약국,서울특별시 강서구 마곡중앙5로 6 마곡나루역보타닉푸르지오시티 1층 102호 (마곡동),37.5151785,126.8406797
PHMD120223100034084000007,도담약국,서울특별시 노원구 공릉로43길 1 104호 (공릉동),37.5566495,127.140649
PHMD120223090033084000002,봄약국,서울특별시 도봉구 도봉로 684 116호 (방학동),37.5330803,126.9041081
PHMD120223150037084000008,국제약국,서울특별시 강서구 방화동로 40 A동 1층 좌측호 (공항동),37.466266,127.1167873
PHMD120223010033084000004,곰약국,서울특별시 중구 마른내로 103(오장동),37.4788977,126.9526427
PHMD120223140033084000002,우리동네맘약국,서울특별시 양천구 남부순환로 603 1층 (신월동),37.5732931,126.8331015
PHMD120223240033084000004,진한약국,서울특별시 강동구 고덕로 133 강동롯데캐슬퍼스트아파트  상가 지하1층 1039호 (암사동),37.4886588,126.9945509
PHMD120223180034084000005,당산봄약국,서울특별시 영등포구 양평로 20(당산동6가),37.5584622,126.825686
PHMD120223220033084000008,동의보감한약국,서울특별시 강남구 헌릉로571길 56-1 101호 (세곡동),37.4821999,126.928909
PHMD120223200033084000001,일등약국,서울특별시 관악구 관악로 154 1층 (봉천동),37.5834085,126.9518437
PHMD120213150037084000022,강서튼튼약국,서울특별시 강서구 마곡서로 56 마곡에스비타워Ⅲ 1층 103호 (마곡동),37.5299835,126.9681104
PHMD120213210034084000028,서초우리약국,서울특별시 서초구 반포대로27길 13 2층 206호 (서초동 서초꽃마을 주얼리),37.5415632,126.8396504
PHMD120213150037084000019,아란약국,서울특별시 강서구 마곡중앙1로 10 1층 117호 (마곡동),37.5106681,127.0861994
PHMD120203200033084000019,참바른약국,서울특별시 관악구 신원로 35 삼모 더 프라임 타워 1층 (신림동),37.6423689,126.9384282
PHMD120203120033084000002,홍제 오늘약국,서울특별시 서대문구 통일로 460 2층 (홍제동),37.5151565,127.0203529
PHMD120193020033084000008,신용산수약국,서울특별시 용산구 한강대로 109 용성비즈텔 지하2층 227233호 (한강로2가),37.5602415,126.838684
PHMD120193150037084000033,연세약국,서울특별시 강서구 화곡로 161 대성빌딩 104105호 (화곡동),37.5600589,126.8383354
PHMD120193230034084000025,차돌약국,서울특별시 송파구 석촌호수로 61 트리지움 147호 (잠실동),37.5748959,126.9576812
PHMD120193200033084000014,사랑찬약국,서울특별시 관악구 과천대로 909 남현프라자 지하2층 (남현동),37.4839396,126.9955549
PHMD120193230034084000014,맑은샘약국,서울특별시 송파구 동남로 236 2층 (가락동),37.634,127.0416651
PHMD120193110032084000008,성모자이약국,서울특별시 은평구 통일로 1034 1층 129호 (진관동 은평 스카이뷰 자이),37.4944379,127.0615378
PHMD120193080033084000003,동아약국,서울특별시 강북구 도봉로 118 1층 (미아동),37.55753,126.82739
PHMD120183150037084000022,세란온누리약국,서울특별시 강서구 강서로 251 세란빌딩 103호 (내발산동),37.5533954,126.8435941
PHMD120173220033084000057,신사온누리약국,서울특별시 강남구 강남대로 598 보림빌딩 지하1층 (논현동),37.5592894,126.8403282
PHMD120173150037084000008,사과약국,서울특별시 강서구 강서로 391 108호 (마곡동 문영비즈웍스),37.5723555,126.9818018
PHMD120173150037084000003,마곡하나약국,서울특별시 강서구 강서로 385 106호 (마곡동 우성에스비타워),37.5754498,127.0725715
PHMD120163000034084000007,명문약국,서울특별시 종로구 통일로 254 1층 지하1층 (무악동),37.4951557,126.9090763
PHMD120163210034084000016,서초제일약국,서울특별시 서초구 방배로 111 1층 (방배동 근복빌딩),37.5196689,127.0379979
PHMD120153090033084000011,라파온누리약국,서울특별시 도봉구 우이천로4길 42 1층 (창동),37.6098232,126.9348476
PHMD120153220033084000040,우리온누리약국,서울특별시 강남구 남부순환로397길 57 1층 1호 (대치동 대치메디칼센터),37.4859959,126.9838729
PHMD120153150037084000014,메디팜 정다운약국,서울특별시 강서구 마곡중앙5로 87 107호 (마곡동 우성르보아투),37.5208038,126.8976337
PHMD120153150037084000009,조은약국,서울특별시 강서구 마곡중앙로 36 상가 107-1호 (마곡동 마곡엠벨리 15단지),37.4977778,127.0523689
PHMD120123150037084000004,미즈정문약국,서울특별시 강서구 강서로 299 1층 (내발산동),37.5556852,126.9242635
PHMD120113010033084000020,을지수온누리약국,서울특별시 중구 마른내로 12 12층 (저동2가),37.5204011,127.0502876
PHMD120113050034084000023,365종로약국,서울특별시 동대문구 전농로 60-1 1층 (답십리동),37.4753367,126.9657279
PHMD120103150037084000021,아름드리약국,서울특별시 강서구 강서로56길 30 1층 코너호 (등촌동),37.5292184,126.8630175
PHMD120093160034084000011,아침햇살약국,서울특별시 구로구 시흥대로 563 동연빌딩 1층 (구로동),37.519303,126.9314898
PHMD120083000034084000010,푸른소나무약국,서울특별시 종로구 삼봉로 81 207호 (수송동 두산위브파빌리온),37.4843751,126.9723299
PHMD120073050034084000022,봄약국,서울특별시 동대문구 장한로32길 7 장안동의료시설 1층 (장안동),37.5900329,127.0939952
PHMD120003180034084000034,이화약국,서울특별시 영등포구 신길로 28 (신길동),37.4647145,126.9317212
PHMD120223220033084000011,굿케어약국,서울특별시 강남구 선릉로 719 103호 (논현동),37.5718712,127.01261
PHMD120223110032084000006,청춘약국,서울특별시 은평구 통일로 724 1층 (불광동),37.5706784,127.0003241
PHMD120223210034084000008,이수다온약국,서울특별시 서초구 서초대로 13 1동 1층 101호 (방배동),37.5703614,126.9786571
PHMD120043180034084000029,새희망약국,서울특별시 영등포구 영등포로 146-1 1층 2호 (당산동1가),37.5880001,127.0003433
PHMD120223220033084000012,한티미소약국,서울특별시 강남구 선릉로 314 2층 201-2호 (대치동),37.5757217,126.9855621
PHMD120223000034084000006,행운약국,서울특별시 종로구 대명길 21-2(명륜4가),37.5758272,127.0102981
PHMD120163160034084000009,백세비타민약국,서울특별시 구로구 디지털로26길 98 101호 (구로동 디지털탑프라자),37.5735393,127.0154532
PHMD120223130033084000003,홍대어울림약국,서울특별시 마포구 어울마당로 128 1층 (서교동),37.5818796,127.0004766
PHMD120223220033084000013,바라기한약국,서울특별시 강남구 학동로81길 9 1층 101호 (청담동),37.5710103,127.0069805
PHMD120193200033084000017,원당프라자약국,서울특별시 관악구 남부순환로248길 15 1층 (봉천동),37.5705681,126.9763076
PHMD120183140033084000011,이안약국,서울특별시 양천구 국회대로 252 (신정동),37.5707053,126.9644592
PHMD120003180034084000030,대교약국,서울특별시 영등포구 여의대방로 383 (여의도동),37.5699458,126.9911001
PHMD120223190033084000001,튼튼약국,서울특별시 동작구 사당로 215 서림빌딩 112호 (사당동),37.5777788,127.0226203
PHMD120213060034084000002,이레온누리약국,서울특별시 중랑구 겸재로 237 1층 (망우동),37.572059,126.9812682
PHMD120193230034084000019,더블유약국,서울특별시 송파구 올림픽로 100 효창타워 1층 (잠실동),37.5680134,126.966708
PHMD120163140033084000009,동인프라자약국,서울특별시 양천구 남부순환로40길 13 (신월동),37.5836084,127.0015121
PHMD120043200033084000039,우경약국,서울특별시 관악구 호암로 528 1층 (신림동),37.5710806,127.0001466
PHMD120013000034084000002,현대약국,서울특별시 종로구 통일로 246-10 113호 (무악동),37.5758692,126.9572599
PHMD120013000034084000005,숭인다모아약국,서울특별시 종로구 지봉로8길 54 (숭인동),37.5719371,127.0137117
PHMD120013000034084000007,독일약국,서울특별시 종로구 종로 314 (창신동),37.5704301,126.976185
PHMD120023000034084000002,열린약국,서울특별시 종로구 종로 204 12층 (종로4가),37.5815033,127.0007273
PHMD120153000034084000003,인앤아웃약국,서울특별시 종로구 종로 19 421호 (종로1가),37.5465368,126.9818566
PHMD120143000034084000021,바로약국,서울특별시 종로구 종로 33 지하1층 137호 (청진동),37.5454431,126.9677691
PHMD120143000034084000025,혜화약국,서울특별시 종로구 혜화로 8 (혜화동),37.5263534,127.0009509
PHMD120153000034084000001,남영약국,서울특별시 종로구 삼일대로 461 (경운동 운현궁SK허브),37.5531772,126.9731956
PHMD119943000034084000004,보광약국,서울특별시 종로구 대학로 93-3 1층 (연건동),37.527235,126.9996098
PHMD119943000034084000005,효성약국,서울특별시 종로구 창신길 95 (창신동),37.5495356,126.9772925
PHMD120123000034084000016,신두산약국,서울특별시 종로구 지봉로 39-1 1층 (창신동),37.5497544,126.9772702
PHMD120123000034084000017,종로백세약국,서울특별시 종로구 종로 221 1층 (종로5가),37.5324418,127.0056444
PHMD120133000034084000001,서울종로약국,서울특별시 종로구 대학로 117 (명륜4가),37.5504525,126.9661722
PHMD120133000034084000002,신동화약국,서울특별시 종로구 종로 267-1 (종로6가),37.5496366,126.9723184
PHMD120173000034084000001,소망약국,서울특별시 종로구 종로 335 1층 (창신동 원풍빌딩),37.5209017,126.9693336
PHMD120173000034084000002,광화문윤약국,서울특별시 종로구 세종대로 159 4층 (세종로),37.5500585,126.9771133
PHMD120173000034084000005,경희궁햇살약국,서울특별시 종로구 송월길 99 203동 2218호 (홍파동 경희궁자이 2단지),37.5359827,126.9619442
PHMD120173000034084000006,태평양약국,서울특별시 종로구 수표로20길 43 1층 (종로3가),37.5201398,126.9718634
PHMD120113000034084000006,종로한사랑약국,서울특별시 종로구 종로 344 309호 (숭인동),37.5459866,126.9849365
PHMD120113000034084000007,제일약국,서울특별시 종로구 삼봉로 74 (청진동),37.5512938,126.9625504
PHMD120063000034084000001,건강한세상약국,서울특별시 종로구 새문안로 21 123지하1층 (평동),37.5395573,126.9610667
PHMD120063000034084000002,성진약국,서울특별시 종로구 창경궁로 271-1 (혜화동),37.5413682,126.9732953
PHMD120133000034084000008,종오약국,서울특별시 종로구 종로 195-1 1층 (종로4가),37.5505381,126.9749622
PHMD120133000034084000009,보령약국,서울특별시 종로구 종로 203 (종로5가),37.5271282,127.0002912
PHMD120133000034084000011,통인한약국,서울특별시 종로구 필운대로6길 29 (통인동),37.525979,126.9999321
PHMD120133000034084000012,중앙약국,서울특별시 종로구 경교장길 5 1.2층 (교남동),37.5208556,126.969841
PHMD120133000034084000013,신세계약국,서울특별시 종로구 종로 124-1 (종로3가),37.5339827,126.9503898
PHMD120133000034084000014,신서대문대학약국,서울특별시 종로구 경교장1길 1 1층 (교남동),37.5337862,126.9942656
PHMD120133000034084000016,다나약국,서울특별시 종로구 종로 128 302호 (종로3가),37.5337008,127.0054591
PHMD120113000034084000005,신백제약국,서울특별시 종로구 종로 243 1층 (종로5가),37.5406778,126.9599965
PHMD119963000034084000001,캐슬온누리약국,서울특별시 종로구 종로 347 207호 (숭인동 롯데캐슬천지인상가),37.5432524,126.9875039
PHMD119973000034084000001,푸른온누리약국,서울특별시 종로구 새문안로 19 (평동),37.4875414,126.9508094
PHMD119973000034084000002,경일약국,서울특별시 종로구 평창문화로 35 (평창동),37.5328642,126.9596117
PHMD120113000034084000011,부광약국,서울특별시 종로구 종로 223-1 (종로5가),37.5174785,126.9805401
PHMD120123000034084000006,글로리아약국,서울특별시 종로구 평창문화로 75 A109호 (평창동 글로리아타운),37.5273021,126.966588
