gid,lon,lat
¤ì‚¬6453,127.0979416000,37.5802004300
¤ì‚¬5651,127.0074584000,37.5618306200
¤ì‚¬6157,127.0637552000,37.6161328400
¤ì‚¬5858,127.0297064000,37.6250154600
¤ì‚¬5347,126.9737448000,37.5256311600
¤ì‚¬5955,127.0412046000,37.5980204600
¤ì‚¬5748,127.0189546000,37.5348374900
¤ì‚¬7152,127.1772583000,37.5714304300
¤ì‚¬5961,127.0408721000,37.6520995700
¤ì‚¬6549,127.1094552000,37.5441850200
¤ì‚¬6163,127.0634389000,37.6702119500
¤ì‚¬4051,126.8263036000,37.5609358800
¤ì‚¬5747,127.0190125000,37.5258241900
¤ì‚¬5947,127.0416465000,37.5259142000
¤ì‚¬5662,127.0068041000,37.6609754000
¤ì‚¬5863,127.0294221000,37.6700811400
¤ì‚¬6255,127.0751885000,37.5981476800
¤ì‚¬5547,126.9963786000,37.5257298400
¤ì‚¬6348,127.0868652000,37.5350946000
¤ì‚¬4942,126.9288209000,37.4803547100
¤ì‚¬5158,126.9503829000,37.6246726300
¤ì‚¬6457,127.0977475000,37.6162536100
¤ì‚¬5963,127.0407610000,37.6701258300
¤ì‚¬4146,126.8380241000,37.5159349200
¤ì‚¬3949,126.8151467000,37.5428448500
¤ì‚¬5853,127.0299900000,37.5799494300
¤ì‚¬4959,126.9276501000,37.6335779100
¤ì‚¬5653,127.0073397000,37.5798570700
¤ì‚¬5761,127.0181998000,37.6520091500
¤ì‚¬6647,127.1208664000,37.5261950900
¤ì‚¬5359,126.9729829000,37.6337891100
¤ì‚¬3952,126.8148992000,37.5698836500
¤ì‚¬5156,126.9505155000,37.6066464900
¤ì‚¬5148,126.9510450000,37.5345413400
¤ì‚¬4740,126.9063436000,37.4622167400
¤ì‚¬4645,126.8946730000,37.5072253200
¤ì‚¬5151,126.9508467000,37.5615808700
¤ì‚¬6542,127.1097838000,37.4810909600
¤ì‚¬4248,126.8491826000,37.5340238900
¤ì‚¬6046,127.0530174000,37.5169442200
¤ì‚¬6264,127.0747264000,37.6792665300
¤ì‚¬4752,126.9054862000,37.5703746100
¤ì‚¬4247,126.8492610000,37.5250108500
¤ì‚¬5448,126.9849997000,37.5346943000
¤ì‚¬6745,127.1322720000,37.5082039700
¤ì‚¬5352,126.9734278000,37.5706972100
¤ì‚¬3854,126.8034080000,37.5878431500
¤ì‚¬6250,127.0754445000,37.5530811600
¤ì‚¬5652,127.0073990000,37.5708438500
¤ì‚¬4955,126.9279264000,37.5975257500
¤ì‚¬5062,126.9387799000,37.6606713700
¤ì‚¬6848,127.1434579000,37.5352790200
¤ì‚¬5248,126.9623632000,37.5345934100
¤ì‚¬5461,126.9841916000,37.6518653600
¤ì‚¬6640,127.1211852000,37.4631007400
¤ì‚¬6751,127.1320064000,37.5622845200
¤ì‚¬5841,127.0306681000,37.4717895500
¤ì‚¬6451,127.0980385000,37.5621737600
¤ì‚¬6147,127.0642807000,37.5259998800
¤ì‚¬5954,127.0412599000,37.5890072300
¤ì‚¬5856,127.0298199000,37.6069890900
¤ì‚¬6059,127.0523164000,37.6341168100
¤ì‚¬7153,127.1772194000,37.5804438300
¤ì‚¬5247,126.9624279000,37.5255801900
¤ì‚¬4446,126.8719696000,37.5161203000
¤ì‚¬6146,127.0643331000,37.5169865000
¤ì‚¬5550,126.9961967000,37.5527696200
¤ì‚¬4847,126.9171607000,37.5253654700
¤ì‚¬5563,126.9954056000,37.6699405200
¤ì‚¬6148,127.0642282000,37.5350132400
¤ì‚¬6650,127.1207294000,37.5532353100
¤ì‚¬3851,126.8036599000,37.5608045000
¤ì‚¬6350,127.0867657000,37.5531213300
¤ì‚¬5647,127.0076955000,37.5257775600
¤ì‚¬6057,127.0524245000,37.6160904100
¤ì‚¬6742,127.1324046000,37.4811635000
¤ì‚¬5454,126.9846273000,37.5887735400
¤ì‚¬6359,127.0863169000,37.6342409200
¤ì‚¬6850,127.1433720000,37.5533058700
¤ì‚¬6349,127.0868154000,37.5441079700
¤ì‚¬4756,126.9051994000,37.6064267900
¤ì‚¬5759,127.0183162000,37.6339829000
¤ì‚¬4745,126.9059869000,37.5072827600
¤ì‚¬4851,126.9168800000,37.5614180000
¤ì‚¬6950,127.1546933000,37.5533395200
¤ì‚¬4147,126.8379444000,37.5249479600
¤ì‚¬7050,127.1660147000,37.5533720900
¤ì‚¬6053,127.0526404000,37.5800374400
¤ì‚¬4650,126.8943087000,37.5522909100
¤ì‚¬5754,127.0186068000,37.5889170100
¤ì‚¬5250,126.9622337000,37.5526198100
¤ì‚¬5755,127.0185487000,37.5979302200
¤ì‚¬5048,126.9397269000,37.5344881800
¤ì‚¬5342,126.9740610000,37.4805647500
¤ì‚¬4840,126.9176508000,37.4622730000
¤ì‚¬6052,127.0526944000,37.5710241700
¤ì‚¬5544,126.9965602000,37.4986899500
¤ì‚¬5355,126.9732373000,37.5977366800
¤ì‚¬5648,127.0076363000,37.5347908500
¤ì‚¬6550,127.1094081000,37.5531984000
¤ì‚¬4640,126.8950365000,37.4621593900
¤ì‚¬6841,127.1437578000,37.4721846200
¤ì‚¬5452,126.9847515000,37.5707471800
¤ì‚¬4444,126.8721206000,37.4980940800
¤ì‚¬4845,126.9173009000,37.5073391200
¤ì‚¬4052,126.8262224000,37.5699488200
¤ì‚¬7051,127.1659745000,37.5623855100
¤ì‚¬6547,127.1095492000,37.5261582100
¤ì‚¬5449,126.9849377000,37.5437075400
