,index,gid,구이름,lon,lat,심야약국,전체약국,응급실,상비의약품,경찰서,고위험군,총인구,구가중치,sum,순위
0,59,ㅼ궗4146,양천구,126.8380241,37.51593492,-0.0,14,0.5,0.2857142857142857,0.25,1.3862593328310158,1.3093338036241788,3.0,6.731307422169481,1
1,92,ㅼ궗4347,양천구,126.8605775,37.52507267,-0.0,17,0.5,0.365079365079365,0.25,1.1714500993218713,1.231294916449892,3.0,6.5178243808511285,2
2,114,ㅼ궗4447,양천구,126.8718941,37.52513339,-0.0,26,0.0,0.3333333333333333,0.0,1.5396944996232618,1.6388607204267889,3.0,6.511888553383384,3
3,854,ㅼ궗6353,중랑구,127.0866163,37.58016132,-0.0,26,0.5,0.3968253968253968,0.25,1.6828549900678127,1.664300515850271,2.0,6.4939809027434805,4
4,117,ㅼ궗4449,양천구,126.8717429,37.54315954,-0.0,17,0.0,0.2063492063492063,0.0,1.4359887663538595,1.6228120453242805,3.0,6.265150018027346,5
5,624,ㅼ궗5850,성동구,127.0301599,37.55290965,-0.0,8,0.0,0.1111111111111111,0.5,1.871224056442222,1.7586967064944226,2.0,6.241031874047756,6
6,769,ㅼ궗6152,동대문구,127.0640182,37.57106653,-0.0,19,0.0,0.6666666666666666,0.25,1.6916227138845126,1.6047352409505753,2.0,6.213024621501754,7
7,79,ㅼ궗4247,양천구,126.849261,37.52501085,-0.0,10,0.0,0.3492063492063492,0.25,1.3314610589766422,1.215863498082095,3.0,6.146530906265086,8
8,416,ㅼ궗5342,동작구,126.974061,37.48056475,-0.0,18,0.0,0.5555555555555556,0.5,1.441742585108569,1.6179180812133505,2.0,6.115216221877475,9
10,91,ㅼ궗4346,양천구,126.8606544,37.51605959,-0.0,11,0.0,0.2063492063492063,0.25,1.2973491335022946,1.338388959922402,3.0,6.092087299773903,10
11,80,ㅼ궗4248,강서구,126.8491826,37.53402389,-0.0,15,0.0,0.4126984126984127,0.0,1.7438180697308034,1.931396322913452,2.0,6.087912805342668,11
12,60,ㅼ궗4147,양천구,126.8379444,37.52494796,-0.0,15,0.0,0.3968253968253968,0.0,1.4528392355640796,1.1924518319298092,3.0,6.042116464319285,12
13,417,ㅼ궗5343,동작구,126.9739978,37.48957806,-0.0,7,0.0,0.3333333333333333,0.0,1.916569628056716,1.718927736872272,2.0,5.968830698262321,13
14,965,ㅼ궗6748,강동구,127.1321393,37.53524431,-0.0,25,0.5,0.746031746031746,0.0,1.721761764504418,2.0,1.0,5.967793510536164,14
15,62,ㅼ궗4148,양천구,126.8378648,37.53396098,-0.0,24,0.0,0.4444444444444444,0.25,1.6961435714774984,0.5254177505400996,3.0,5.9160057664620425,15
16,844,ㅼ궗6345,송파구,127.0870142,37.5080544,-0.0,51,0.0,0.3809523809523809,0.25,1.530789780121926,1.7407962611877783,2.0,5.902538422262086,16
17,115,ㅼ궗4448,양천구,126.8718185,37.53414647,-0.0,7,0.0,0.2063492063492063,0.0,1.1763819439687648,1.4050967770380494,3.0,5.7878279273560205,17
18,940,ㅼ궗6644,송파구,127.1210031,37.49915474,-0.0,19,0.5,0.3333333333333333,0.25,1.2618672511815878,1.356245315462281,2.0,5.701445899977202,18
19,66,ㅼ궗4150,강서구,126.8377053,37.55198697,-0.0,17,0.5,0.1269841269841269,0.0,1.4801013768066305,1.5694193377717032,2.0,5.67650484156246,19
20,171,ㅼ궗4647,영등포구,126.8945274,37.5252516,-0.0,17,1.0,0.5079365079365079,0.25,0.8643057743681074,0.9916670340813896,2.0,5.613909316386005,20
21,89,ㅼ궗4345,양천구,126.8607313,37.50704651,-0.0,13,0.0,0.238095238095238,0.25,1.495581889170491,0.6248842643622415,3.0,5.608561391627971,21
22,77,ㅼ궗4246,양천구,126.8493392,37.5159978,-0.0,8,0.0,0.1904761904761904,0.25,1.1293924241386395,1.0344781976103343,3.0,5.604346812225165,22
23,266,ㅼ궗4944,관악구,126.9286836,37.49838117,-0.0,21,0.0,0.5079365079365079,0.0,1.4337968353996848,1.6537630615934042,2.0,5.595496404929597,23
25,856,ㅼ궗6355,중랑구,127.0865165,37.59818791,-0.0,14,0.0,0.5079365079365079,0.0,1.4446194944859236,1.5927869141572242,2.0,5.545342916579656,24
26,44,ㅼ궗4048,양천구,126.8265469,37.53389697,-0.0,12,0.5,0.3492063492063492,0.0,0.846496335365436,0.8444072130858428,3.0,5.540109897657628,25
27,252,ㅼ궗4857,은평구,126.916458,37.61549637,-0.0,20,0.5,0.6031746031746031,0.25,1.5157202548119733,1.653366253692518,1.0,5.522261111679095,26
